Item,Description,Quantity,Unit Price Dollars,Total Price Dollars,URL
Raspberry Pi Pico,Micro Controller,1,3.12,9.99,https://www.aliexpress.com/item/1005006087823796.html?spm=a2g0o.productlist.0.0.3e757f6a5YI9OV&mp=1&pdp_npi=6%40dis%21USD%21USD%203.12%21USD%203.12%21%21USD%203.12%21%21%21%40210385db17681342758373422e81f1%2112000047345814908%21ct%21UK%216733093931%21%211%210%21
Original Brand NEW Cherry MX Mechanical Keyboard Switches Silver Red Black Blue Brown Linear Tactile Cherry Clear SMD RGB Switch,Switches,1,25,25,https://www.aliexpress.com/item/1005006255961111.html?spm=a2g0o.detail.0.0.24e8OcPUOcPUR2&mp=1&pdp_npi=6%40dis%21USD%21USD%2034.80%21USD%2026.11%21%21USD%2026.11%21%21%21%40211b618e17676467866921448ee13f%2112000036489552493%21ct%21UK%21-1%21%211%210%21qq
Womier 138 Keys Retro Brown Gray PBT Keycap Double Shot Cherry Profile Key caps for Cherry MX Switches Mechanical Gamer Keyboard,Key Caps,1,13.5,13.5,https://www.aliexpress.com/item/1005007360831985.html?spm=a2g0o.cart.0.0.42ef38danUbU2e&mp=1&pdp_npi=6%40dis%21USD%21USD%2020.69%21USD%2013.24%21%21USD%2013.24%21%21%21%40211b618e17676469936801993ee13f%2112000048937818865%21ct%21UK%21-1%21%211%210%21
PCB,PCB,1,43,43,https://cart.jlcpcb.com/shopcart/cart
1N4148 SMT SOD-123 Diodes - 100 Pack,Diodes ,2,6.5,13,https://thepihut.com/products/1n4148-smt-sod-123-diodes-100-pack
,,,,104.49,
,,,,,
,,,,,
Note ,,,,,
I had to get the diodes from a uk shop as since i needed 102 and aliexpress only sels in the 100s and i can only buy 1 i had to buy them here ,,,,,