Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","D_SOD-123",43.180000,-41.130000,90.000000,bottom
"D2","D","D_SOD-123",81.280000,-41.130000,90.000000,bottom
"D3","D","D_SOD-123",100.330000,-41.130000,90.000000,bottom
"D4","D","D_SOD-123",119.380000,-41.130000,90.000000,bottom
"D5","D","D_SOD-123",138.430000,-41.130000,90.000000,bottom
"D6","D","D_SOD-123",167.005000,-41.130000,90.000000,bottom
"D7","D","D_SOD-123",186.055000,-41.130000,90.000000,bottom
"D8","D","D_SOD-123",205.105000,-41.130000,90.000000,bottom
"D9","D","D_SOD-123",224.155000,-41.130000,90.000000,bottom
"D10","D","D_SOD-123",252.730000,-41.130000,90.000000,bottom
"D11","D","D_SOD-123",271.780000,-41.130000,90.000000,bottom
"D12","D","D_SOD-123",290.830000,-41.130000,90.000000,bottom
"D13","D","D_SOD-123",309.880000,-41.130000,90.000000,bottom
"D14","D","D_SOD-123",333.692500,-41.130000,90.000000,bottom
"D15","D","D_SOD-123",352.742500,-41.130000,90.000000,bottom
"D16","D","D_SOD-123",371.792500,-41.130000,90.000000,bottom
"D17","D","D_SOD-123",43.180000,-69.705000,90.000000,bottom
"D18","D","D_SOD-123",62.230000,-69.705000,90.000000,bottom
"D19","D","D_SOD-123",81.280000,-69.705000,90.000000,bottom
"D20","D","D_SOD-123",100.330000,-69.705000,90.000000,bottom
"D21","D","D_SOD-123",119.380000,-69.705000,90.000000,bottom
"D22","D","D_SOD-123",138.430000,-69.705000,90.000000,bottom
"D23","D","D_SOD-123",157.480000,-69.705000,90.000000,bottom
"D24","D","D_SOD-123",176.530000,-69.705000,90.000000,bottom
"D25","D","D_SOD-123",195.580000,-69.705000,90.000000,bottom
"D26","D","D_SOD-123",214.630000,-69.705000,90.000000,bottom
"D27","D","D_SOD-123",233.680000,-69.705000,90.000000,bottom
"D28","D","D_SOD-123",252.730000,-69.705000,90.000000,bottom
"D29","D","D_SOD-123",271.780000,-69.705000,90.000000,bottom
"D30","D","D_SOD-123",300.355000,-69.705000,90.000000,bottom
"D31","D","D_SOD-123",333.692500,-69.705000,90.000000,bottom
"D32","D","D_SOD-123",352.742500,-69.705000,90.000000,bottom
"D33","D","D_SOD-123",371.792500,-69.705000,90.000000,bottom
"D34","D","D_SOD-123",395.605000,-69.705000,90.000000,bottom
"D35","D","D_SOD-123",414.655000,-69.705000,90.000000,bottom
"D36","D","D_SOD-123",433.705000,-69.705000,90.000000,bottom
"D37","D","D_SOD-123",47.942500,-88.755000,90.000000,bottom
"D38","D","D_SOD-123",71.755000,-88.755000,90.000000,bottom
"D39","D","D_SOD-123",90.805000,-88.755000,90.000000,bottom
"D40","D","D_SOD-123",109.855000,-88.755000,90.000000,bottom
"D41","D","D_SOD-123",128.905000,-88.755000,90.000000,bottom
"D42","D","D_SOD-123",147.955000,-88.755000,90.000000,bottom
"D43","D","D_SOD-123",167.005000,-88.755000,90.000000,bottom
"D44","D","D_SOD-123",186.055000,-88.755000,90.000000,bottom
"D45","D","D_SOD-123",205.105000,-88.755000,90.000000,bottom
"D46","D","D_SOD-123",224.155000,-88.755000,90.000000,bottom
"D47","D","D_SOD-123",243.205000,-88.755000,90.000000,bottom
"D48","D","D_SOD-123",262.255000,-88.755000,90.000000,bottom
"D49","D","D_SOD-123",281.305000,-88.755000,90.000000,bottom
"D50","D","D_SOD-123",307.498750,-98.280000,90.000000,bottom
"D51","D","D_SOD-123",333.692500,-88.755000,90.000000,bottom
"D52","D","D_SOD-123",352.742500,-88.755000,90.000000,bottom
"D53","D","D_SOD-123",371.792500,-88.755000,90.000000,bottom
"D54","D","D_SOD-123",395.605000,-88.755000,90.000000,bottom
"D55","D","D_SOD-123",414.655000,-88.755000,90.000000,bottom
"D56","D","D_SOD-123",433.705000,-88.755000,90.000000,bottom
"D57","D","D_SOD-123",50.323750,-107.805000,90.000000,bottom
"D58","D","D_SOD-123",76.517500,-107.805000,90.000000,bottom
"D59","D","D_SOD-123",95.567500,-107.805000,90.000000,bottom
"D60","D","D_SOD-123",114.617500,-107.805000,90.000000,bottom
"D61","D","D_SOD-123",133.667500,-107.805000,90.000000,bottom
"D62","D","D_SOD-123",152.717500,-107.805000,90.000000,bottom
"D63","D","D_SOD-123",171.767500,-107.805000,90.000000,bottom
"D64","D","D_SOD-123",190.817500,-107.805000,90.000000,bottom
"D65","D","D_SOD-123",209.867500,-107.805000,90.000000,bottom
"D66","D","D_SOD-123",228.917500,-107.805000,90.000000,bottom
"D67","D","D_SOD-123",247.967500,-107.805000,90.000000,bottom
"D68","D","D_SOD-123",267.017500,-107.805000,90.000000,bottom
"D69","D","D_SOD-123",286.067500,-107.805000,90.000000,bottom
"D70","D","D_SOD-123",395.605000,-107.805000,90.000000,bottom
"D71","D","D_SOD-123",414.655000,-107.805000,90.000000,bottom
"D72","D","D_SOD-123",433.705000,-107.805000,90.000000,bottom
"D73","D","D_SOD-123",45.561250,-126.855000,90.000000,bottom
"D74","D","D_SOD-123",66.992500,-126.855000,90.000000,bottom
"D75","D","D_SOD-123",86.042500,-126.855000,90.000000,bottom
"D76","D","D_SOD-123",105.092500,-126.855000,90.000000,bottom
"D77","D","D_SOD-123",124.142500,-126.855000,90.000000,bottom
"D78","D","D_SOD-123",143.192500,-126.855000,90.000000,bottom
"D79","D","D_SOD-123",162.242500,-126.855000,90.000000,bottom
"D80","D","D_SOD-123",181.292500,-126.855000,90.000000,bottom
"D81","D","D_SOD-123",200.342500,-126.855000,90.000000,bottom
"D82","D","D_SOD-123",219.392500,-126.855000,90.000000,bottom
"D83","D","D_SOD-123",238.442500,-126.855000,90.000000,bottom
"D84","D","D_SOD-123",257.492500,-126.855000,90.000000,bottom
"D85","D","D_SOD-123",293.211250,-126.855000,90.000000,bottom
"D86","D","D_SOD-123",352.742500,-126.855000,90.000000,bottom
"D87","D","D_SOD-123",395.605000,-126.855000,90.000000,bottom
"D88","D","D_SOD-123",414.655000,-126.855000,90.000000,bottom
"D89","D","D_SOD-123",433.705000,-126.855000,90.000000,bottom
"D90","D","D_SOD-123",45.561250,-145.905000,90.000000,bottom
"D91","D","D_SOD-123",69.373750,-145.905000,90.000000,bottom
"D92","D","D_SOD-123",93.186250,-145.905000,90.000000,bottom
"D93","D","D_SOD-123",164.623750,-145.905000,90.000000,bottom
"D94","D","D_SOD-123",236.061250,-145.905000,90.000000,bottom
"D95","D","D_SOD-123",259.873750,-145.905000,90.000000,bottom
"D96","D","D_SOD-123",283.686250,-145.905000,90.000000,bottom
"D97","D","D_SOD-123",307.498750,-145.905000,90.000000,bottom
"D98","D","D_SOD-123",333.692500,-145.905000,90.000000,bottom
"D99","D","D_SOD-123",352.742500,-145.905000,90.000000,bottom
"D100","D","D_SOD-123",371.792500,-145.905000,90.000000,bottom
"D101","D","D_SOD-123",405.130000,-145.905000,90.000000,bottom
"D102","D","D_SOD-123",433.705000,-145.905000,90.000000,bottom
